task,arm,joint,fault_type,severity,success,total,rate,logfile
handover_mic,left,fl_joint3,range_reduced,0.5,0,20,0.0,/tmp/sweep_handover_mic_left_fl_joint3_range_reduced_0.5.log
handover_mic,left,fl_joint3,range_reduced,0.75,0,20,0.0,/tmp/sweep_handover_mic_left_fl_joint3_range_reduced_0.75.log
handover_mic,left,fl_joint4,locked,,0,20,0.0,/tmp/sweep_handover_mic_left_fl_joint4_locked_na.log
handover_mic,left,fl_joint4,range_reduced,0.25,0,20,0.0,/tmp/sweep_handover_mic_left_fl_joint4_range_reduced_0.25.log
handover_mic,left,fl_joint4,range_reduced,0.5,3,20,15.0,/tmp/sweep_handover_mic_left_fl_joint4_range_reduced_0.5.log
handover_mic,left,fl_joint4,range_reduced,0.75,7,20,35.0,/tmp/sweep_handover_mic_left_fl_joint4_range_reduced_0.75.log
handover_mic,left,fl_joint5,locked,,0,20,0.0,/tmp/sweep_handover_mic_left_fl_joint5_locked_na.log
handover_mic,left,fl_joint5,range_reduced,0.25,2,20,10.0,/tmp/sweep_handover_mic_left_fl_joint5_range_reduced_0.25.log
handover_mic,left,fl_joint5,range_reduced,0.5,10,20,50.0,/tmp/sweep_handover_mic_left_fl_joint5_range_reduced_0.5.log
handover_mic,left,fl_joint5,range_reduced,0.75,7,20,35.0,/tmp/sweep_handover_mic_left_fl_joint5_range_reduced_0.75.log
handover_mic,left,fl_joint6,locked,,0,20,0.0,/tmp/sweep_handover_mic_left_fl_joint6_locked_na.log
handover_mic,left,fl_joint6,range_reduced,0.25,5,20,25.0,/tmp/sweep_handover_mic_left_fl_joint6_range_reduced_0.25.log
handover_mic,left,fl_joint6,range_reduced,0.5,5,20,25.0,/tmp/sweep_handover_mic_left_fl_joint6_range_reduced_0.5.log
handover_mic,left,fl_joint6,range_reduced,0.75,4,20,20.0,/tmp/sweep_handover_mic_left_fl_joint6_range_reduced_0.75.log
handover_mic,right,fr_joint2,locked,,0,20,0.0,/tmp/sweep_handover_mic_right_fr_joint2_locked_na.log
handover_mic,right,fr_joint2,range_reduced,0.25,0,20,0.0,/tmp/sweep_handover_mic_right_fr_joint2_range_reduced_0.25.log
handover_mic,right,fr_joint2,range_reduced,0.5,0,20,0.0,/tmp/sweep_handover_mic_right_fr_joint2_range_reduced_0.5.log
handover_mic,right,fr_joint2,range_reduced,0.75,0,20,0.0,/tmp/sweep_handover_mic_right_fr_joint2_range_reduced_0.75.log
handover_mic,right,fr_joint3,locked,,0,20,0.0,/tmp/sweep_handover_mic_right_fr_joint3_locked_na.log
handover_mic,right,fr_joint3,range_reduced,0.25,0,20,0.0,/tmp/sweep_handover_mic_right_fr_joint3_range_reduced_0.25.log
handover_mic,right,fr_joint3,range_reduced,0.5,0,20,0.0,/tmp/sweep_handover_mic_right_fr_joint3_range_reduced_0.5.log
handover_mic,right,fr_joint3,range_reduced,0.75,2,20,10.0,/tmp/sweep_handover_mic_right_fr_joint3_range_reduced_0.75.log
handover_mic,right,fr_joint4,locked,,1,20,5.0,/tmp/sweep_handover_mic_right_fr_joint4_locked_na.log
handover_mic,right,fr_joint4,range_reduced,0.25,0,20,0.0,/tmp/sweep_handover_mic_right_fr_joint4_range_reduced_0.25.log
handover_mic,right,fr_joint4,range_reduced,0.5,6,20,30.0,/tmp/sweep_handover_mic_right_fr_joint4_range_reduced_0.5.log
handover_mic,right,fr_joint4,range_reduced,0.75,9,20,45.0,/tmp/sweep_handover_mic_right_fr_joint4_range_reduced_0.75.log
handover_mic,right,fr_joint5,locked,,5,20,25.0,/tmp/sweep_handover_mic_right_fr_joint5_locked_na.log
handover_mic,right,fr_joint5,range_reduced,0.25,0,20,0.0,/tmp/sweep_handover_mic_right_fr_joint5_range_reduced_0.25.log
handover_mic,right,fr_joint5,range_reduced,0.5,9,20,45.0,/tmp/sweep_handover_mic_right_fr_joint5_range_reduced_0.5.log
handover_mic,right,fr_joint5,range_reduced,0.75,8,20,40.0,/tmp/sweep_handover_mic_right_fr_joint5_range_reduced_0.75.log
handover_mic,right,fr_joint6,locked,,4,20,20.0,/tmp/sweep_handover_mic_right_fr_joint6_locked_na.log
handover_mic,right,fr_joint6,range_reduced,0.25,4,20,20.0,/tmp/sweep_handover_mic_right_fr_joint6_range_reduced_0.25.log
handover_mic,right,fr_joint6,range_reduced,0.5,2,20,10.0,/tmp/sweep_handover_mic_right_fr_joint6_range_reduced_0.5.log
handover_mic,right,fr_joint6,range_reduced,0.75,4,20,20.0,/tmp/sweep_handover_mic_right_fr_joint6_range_reduced_0.75.log
